Commit URL,File Name,Category,Project Name,Project Types
https://github.com/Uniswap/v3-core/commit/705be1eefc56a3620afe96a725c3a68951e8d4a9,contracts/libraries/SqrtPriceMath.sol,Underflow/Overflow,Uniswap,Dexes
https://github.com/transmissions11/solmate/commit/2e27e00db68aa2cbe36f32ccd9b9043ca14554aa,src/utils/SignedWadMath.sol,Underflow/Overflow,solmate,services
https://github.com/crytic/not-so-smart-contracts/commit/5cf309ccf9df3f2eda8091bea7a331de51007103,denial_of_service/list_dos.sol,Unchecked Call Return Value,No-so-smart-contracts,services
https://github.com/SidraChain/sidra-contracts/commit/c7761643830b8490b79ff41b473afa317c2551e2,contracts/Owner.sol,Unprotected Ether Withdrawal,Sidra,token
https://github.com/SidraChain/sidra-contracts/commit/73df01cb36a92ef679d46d82adb0ec25196758e3,contracts/SidraToken.sol,Unchecked Call Return Value,Sidra,token
https://github.com/Uniswap/v4-core/commit/b9b0d2a1f6e6a39444ff9ab286d99efd5de5b8d2,src/test/AccessLockHook.sol,Unprotected Ether Withdrawal,Uniswap,Dexes
https://github.com/Uniswap/v4-core/commit/06564d33b2fa6095830c914461ee64d34d39c305,src/test/PoolModifyPositionTest.sol,Unprotected Ether Withdrawal,Uniswap,Dexes
https://github.com/Uniswap/v4-core/commit/cede34fd171a664d4eb6468854475c9cba5c559c,src/test/PoolModifyPositionTest.sol,Unprotected Ether Withdrawal,Uniswap,Dexes
https://github.com/Synthetixio/synthetix/commit/85d61a215cb6ef04fa04c9e5a0240fb6a6e4d011,contracts/RewardsDistribution.sol,Unchecked Call Return Value,Synthetix,Synthetics
https://github.com/Synthetixio/synthetix/commit/263e5737ba8b10c61c9c71a794b4ce6ae02a0c45,contracts/RewardsDistribution.sol,Unchecked Call Return Value,Synthetix,Synthetics
https://github.com/Uniswap/v2-periphery/commit/dda62473e2da448bc9cb8f4514dadda4aeede5f4,contracts/examples/ExampleSwapToPrice.sol,Unchecked Call Return Value,Uniswap,Dexes
https://github.com/yearn/yearn-vaults/commit/7c5755255b1c17c754113a7bc1e1ba9770997af3,contracts/BaseStrategy.sol,Unprotected Ether Withdrawal,Yearn Vault,Yield Aggregator
https://github.com/yearn/yearn-protocol/commit/7b7d4042f87d6e854b00de9228c01f6f587cf0c0,contracts/strategies/StrategyProxy.sol,Unchecked Call Return Value,Yearn Vault,Yield Aggregator
https://github.com/yearn/yearn-protocol/commit/7843b12ff01240897d535df7da9cfafbb9d4bbae,contracts/strategies/StrategyMKRVaultDAIDelegate.sol,Unprotected Ether Withdrawal,Yearn Vault,Yield Aggregator
https://github.com/ProjectWyvern/wyvern-ethereum/commit/a68053060f69c23a09d82cb7f6e361ba2cc0c768,contracts/common/ArrayUtils.sol,Underflow/Overflow,Wyvern,Dexes
https://github.com/omni/tokenbridge-contracts/commit/908a48107919d4ab127f9af07d44d47eac91547e,contracts/upgradeable_contracts/arbitrary_message/MessageDelivery.sol,Unprotected Ether Withdrawal,TokenBridge,bridge
https://github.com/omni/tokenbridge-contracts/commit/908a48107919d4ab127f9af07d44d47eac91547e,contracts/upgradeable_contracts/erc20_to_native/InterestConnector.sol,Unprotected Ether Withdrawal,TokenBridge,bridge
https://github.com/ethereum/act/commit/7d568e5fe8981ce8a3ad3ea591e82623e97d4a52,tests/hevm/pass/safemath/safemath.sol,Underflow/Overflow,Act,others
https://github.com/matter-labs/era-contracts/commit/626e1ccf2aa943eab85f111337e23a1a763a03fc,ethereum/contracts/zksync/facets/Executor.sol,Underflow/Overflow,zkSync Era,layer 2
https://github.com/matter-labs/era-contracts/commit/414377fa021d2943ddd98622b8e2747fa6d2b9bf,ethereum/contracts/zksync/libraries/TransactionValidator.sol,Underflow/Overflow,zkSync Era,layer 2
