Commit URL,File Name,Category,Project Name,Project Types
https://github.com/maticnetwork/contracts/commit/5dace23fd378b89aef3ef9ad6407cc44eac4d7db,contracts/staking/stakeManager/StakeManager.sol,Temporal Property Violation,/,Dexes
https://github.com/omni/tokenbridge-contracts/commit/1166e00c5b976295914d625504f3b53b7bfc945c,contracts/upgradeable_contracts/multi_amb_erc20_to_erc677/ForeignMultiAMBErc20ToErc677.sol,Lack of Property Check for External Call,POA Bridge,Bridge
https://github.com/matter-labs/era-contracts/commit/5b38a57d6f329c0542cb6ca1c638d920fb0bccb1,ethereum/contracts/zksync/facets/Executor.sol,Others,zkSync Era,Dexes
https://github.com/matter-labs/era-contracts/commit/414377fa021d2943ddd98622b8e2747fa6d2b9bf,ethereum/contracts/upgrades/BaseZkSyncUpgrade.sol,Others,zkSync Era,Dexes
https://github.com/matter-labs/era-contracts/commit/414377fa021d2943ddd98622b8e2747fa6d2b9bf,ethereum/contracts/zksync/libraries/Diamond.sol,Missing Account Type Verification,zkSync Era,Dexes
https://github.com/TokenySolutions/T-REX/commit/840500c7c995186e3a149379d085ae998f86673f,contracts/compliance/modular/ModularCompliance.sol,Consistencyv Violation,T-REX,token standard
https://github.com/delvtech/elf-contracts/commit/cb909af9b9843abd477980ba6023fb97e053005c,contracts/Tranche.sol,Number Rounding Error,Element Protocol ,Yeild
https://github.com/blockchain-IoT/Motoro/commit/db5e43f30b1f51d47f193ab32fb9f9da2e4141c9,contracts/Machine.sol,Time Constraint Violation,Motoro,blockchain LoT
https://github.com/oncyberio/factory/commit/5883c0d77e59236689101fdc3ce375f0efab9a84,packages/contracts/contracts/CyberDropBase.sol,Time Constraint Violation,Cyber Destination Diamonds,NFT Marketplace
https://github.com/ethereum-optimism/contracts/commit/c6e6be4056e60e73dc064c0e3bf6ef12d4598e7c,contracts/optimistic-ethereum/OVM/bridge/tokens/OVM_L1ETHGateway.sol,Temporal Property Violation,Optimism,Layer 2
https://github.com/delvtech/council/commit/861e7600bcd5fe3cacca4f84e9f25c72f9c21075,contracts/CoreVoting.sol,Temporal Property Violation,Council,DAO
https://github.com/delvtech/council/commit/7d01b7de58569109755b84af38524884fe68a1c8,contracts/features/Timelock.sol,Temporal Property Violation,Council,DAO
https://github.com/delvtech/council/commit/7d01b7de58569109755b84af38524884fe68a1c8,contracts/libraries/History.sol,Time Constraint Violation,Council,DAO
https://github.com/delvtech/council/commit/d5907de66776ac96aded21412eb28b3fefffc08b,contracts/features/Timelock.sol,Temporal Property Violation,Council,DAO
https://github.com/bcnmy/scw-contracts/commit/3bf128e9e2ece1fd1ce666507700944708eef4ce,contracts/smart-account/modules/BatchedSessionRouterModule.sol,Consistencyv Violation,Biconomy,Wallets
https://github.com/bcnmy/scw-contracts/commit/484e2a25898c013cd57df8dc71aec13a2fd1b58a,contracts/smart-account/modules/BatchedSessionRouterModule.sol,Consistencyv Violation,Biconomy,Wallets
https://github.com/AngleProtocol/angle-core/commit/1ee95d275f3c2e27c16660581bc4567ca9126887,contracts/oracle/modules/ModuleChainlinkMulti.sol,Others,Angle,CDP
https://github.com/AngleProtocol/angle-core/commit/1ee95d275f3c2e27c16660581bc4567ca9126887,contracts/oracle/modules/ModuleChainlinkSingle.sol,Others,Angle,CDP
https://github.com/AngleProtocol/angle-core/commit/1ee95d275f3c2e27c16660581bc4567ca9126887,contracts/oracle/utils/ChainlinkUtils.sol,Lack of Property Check for External Call,Angle,CDP
https://github.com/oceanprotocol/contracts/commit/1a2cad46280a7ee6133a8a33288a5dcbe5371ab9,contracts/pools/fixedRate/FixedRateExchange.sol,Missing Account Type Verification,Ocean protocol,Launchpad
https://github.com/oceanprotocol/contracts/commit/3f6697c811123b41c19230ba2cee5b6820242981,contracts/pools/fixedRate/FixedRateExchange.sol,Missing Account Type Verification,Ocean protocol,Launchpad
https://github.com/Etheremon/smartcontract/commit/cc4dcc187eab362aac9776549aac36d087109e89,EtheremonTrade.sol,Non-asset-related Unauthorized Access,Etheremon,Gaming
https://github.com/Instadapp/smart-contract/commit/d65da6bec7d9f6fff4e61ee83aa83fe89302e238,contracts/ProxyLogics/InstaCompMigrate.sol,Insufficient Balance Validation,Instadapp,Services
https://github.com/Instadapp/smart-contract/commit/510f86b7f80a4a4a3ae2a880410a1fe6fc6b6b26,contracts/ProxyLogics/MCD/InstaMcdMigrate.sol,Insufficient Balance Validation,Instadapp,Services
https://github.com/thundercore/referral-solidity/commit/a44f0e7728974435b63c8b8ef9e323243f006884,contracts/Referral.sol,Non-asset-related Unauthorized Access,Referral Solidity,Services
https://github.com/thundercore/referral-solidity/commit/5b6c8e3ac7f3a68566b536b52e5e558ba0f87c82,contracts/Referral.sol,Non-asset-related Unauthorized Access,Referral Solidity,Services
https://github.com/candidelabs/CandideWalletContracts/commit/f7131dad4532e40488ade1932b9fd4f68c8d0e58,contracts/candideWallet/CandideWallet.sol,Others,Candide Wallet,Wallets
https://github.com/k26dr/ethereum-games/commit/96a536619e34cb8454bfe171e8f773d7d4651302,contracts/Lotteries.sol,ID Uniqueness Violation,ethereum-games,Gaming
https://github.com/k26dr/ethereum-games/commit/363994697a5005a38ed5c9eb43183a30396e5056,contracts/Gambling.sol,Temporal Property Violation,ethereum-games,Gaming
https://github.com/e11-io/crypto-wars-solidity/commit/a7319e6f5e65505ccb10c9636833099a64fdb080,contracts/BuildingsQueue.sol,Others,CryptoWars,Gaming
https://github.com/beefyfinance/beefy-protocol/commit/de6e44166925fe6049bac6910beff6cdaaa5bc75,zaps/beefyUniswapZap.sol,Consistencyv Violation,Beefy Finance ,Yield Aggregator
https://github.com/beefyfinance/beefy-protocol/commit/39e06b52a8443442935f1754260fa3a0480e95e8,zaps/beefyUniswapZap.sol,Consistencyv Violation,Beefy Finance ,Yield Aggregator
https://github.com/onchain-id/solidity/commit/a407555dc0c1e5a329463b04b29e0bed51df5010,contracts/ClaimIssuer.sol,Temporal Property Violation,OnchainID,Privacy
https://github.com/tooploox/ipfs-eth-database/commit/ee6563a5d5189b795efae7bf79b60ea34f579101,contracts/Blog.sol,Insufficient Balance Validation,IPFS,Services
https://github.com/SmartBillions/SmartBillions/commit/996cbe312a9a435eca91e93e888c3d1b3ccefdd8,SmartBillions.sol,Temporal Property Violation,SmartBillions,Gaming
https://github.com/morpho-labs/smart-contract-challenges/commit/4b0d173c843d325972a23efdc88a39485f71cf96,src/hacks/h21-roulette/Roulette.sol,Temporal Property Violation,/,others
https://github.com/sirin-labs/crowdsale-smart-contract/commit/e01bea07951ae314112c7f06a350b6ac66b2188d,contracts/crowdsale/RefundVault.sol,Temporal Property Violation,Sirin Crowdsale,others
https://github.com/sonnysangha/lottery-smart-contract/commit/0399cc1c532549b9c537d5ad556f39038c50219d,Lottery.sol,Asset Availability Violation,lottery-smart-contract,Gaming
https://github.com/Equalizer-Finance/equalizer-smart-contracts-v1/commit/60cae3b77347b5b880743684f8de3c8436ba65ed,contracts/FlashLoanFeeProvider.sol,Errorneous Accounting,Equalizer,Dexes
https://github.com/Equalizer-Finance/equalizer-smart-contracts-v1/commit/60cae3b77347b5b880743684f8de3c8436ba65ed,contracts/Vault.sol,Atomicity Violation,Equalizer,Dexes
https://github.com/Equalizer-Finance/equalizer-smart-contracts-v1/commit/512722ce9e0d5a7783f193fb4ff3cec5a5e9d8e3,contracts/FlashLoanFeeProvider.sol,Errorneous Accounting,Equalizer,Dexes
https://github.com/Equalizer-Finance/equalizer-smart-contracts-v1/commit/70606020f5fd700f6e25152b64172a206f98e9c1,contracts/FlashLoanFeeProvider.sol,Errorneous Accounting,Equalizer,Dexes
https://github.com/Equalizer-Finance/equalizer-smart-contracts-v1/commit/17d79a0b31ee18ac8de6447460ba96de3358777c,contracts/Vault.sol,Atomicity Violation,Equalizer,Dexes
